time,seconds_elapsed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,activity,sample_id,device,sample_rate_ms
1772639297884091600,0.074091552734375,0.569079917339608,-0.3794438459947705,0.6705114894002676,0.1293376237154007,-0.1605492085218429,0.08193951100111,jumping,jumping_3,iPhone 11,10
1772639297894169600,0.084169677734375,0.5763803765460849,-0.4404188314393162,0.7495692440241575,0.0407494269311428,-0.1798350214958191,0.0019836900755763,jumping,jumping_3,iPhone 11,10
1772639297904246500,0.09424658203125,0.5627416176961735,-0.3935493821062147,0.7283838326543569,-0.0411874838173389,-0.2182298451662063,-0.0765899494290351,jumping,jumping_3,iPhone 11,10
1772639297914323500,0.104323486328125,0.4832018151763826,-0.3631573125824332,0.8155003905713558,-0.0995639786124229,-0.2129751592874527,-0.1260568350553512,jumping,jumping_3,iPhone 11,10
1772639297924400600,0.114400634765625,0.407953681968525,-0.4110204491280019,1.0343746121644972,-0.1416339874267578,-0.1863557398319244,-0.1630153506994247,jumping,jumping_3,iPhone 11,10
1772639297934478800,0.124478759765625,0.4213668519016355,-0.3881009074419737,1.097589485490322,-0.1771855950355529,-0.1690475940704345,-0.1951932609081268,jumping,jumping_3,iPhone 11,10
1772639297944555800,0.1345556640625,0.3683533103229477,-0.3353124433234334,1.0902344465523957,-0.2104999274015426,-0.1482578366994857,-0.2078118026256561,jumping,jumping_3,iPhone 11,10
1772639297954632700,0.1446328125,0.1739353384638205,-0.3309171309739351,1.1324603078633546,-0.247368723154068,-0.1732260435819625,-0.2076613306999206,jumping,jumping_3,iPhone 11,10
1772639297964709600,0.154709716796875,0.0040472307058342,-0.3685698391504585,1.015545993053913,-0.2677514851093292,-0.2656238377094269,-0.2178768217563629,jumping,jumping_3,iPhone 11,10
1772639297974787800,0.164787841796875,-0.0696039989741984,-0.4616730702616274,0.9362439082801342,-0.2641956508159637,-0.366481214761734,-0.2727445960044861,jumping,jumping_3,iPhone 11,10
1772639297984864800,0.17486474609375,-0.1040793648893944,-0.501492601083219,1.0014210215896366,-0.235331118106842,-0.4593095779418945,-0.376395046710968,jumping,jumping_3,iPhone 11,10
1772639297994941700,0.184941650390625,-0.0880031771589536,-0.486814964172244,1.0272188951909542,-0.2196821272373199,-0.5887735486030579,-0.4914361536502838,jumping,jumping_3,iPhone 11,10
1772639298005018600,0.1950185546875,-0.2130144261816516,-0.3127930068708956,0.7554758377194404,-0.235761821269989,-0.780199408531189,-0.5739054083824158,jumping,jumping_3,iPhone 11,10
1772639298015096600,0.2050966796875,-0.3454494411300867,-0.2508757721401751,0.3197276284396648,-0.2565312683582306,-0.9362971186637878,-0.5905193090438843,jumping,jumping_3,iPhone 11,10
1772639298025173800,0.215173828125,-0.453297017712891,-0.4394137460500001,0.1076192477196455,-0.2513699531555176,-1.061915636062622,-0.5828562378883362,jumping,jumping_3,iPhone 11,10
1772639298035250700,0.225250732421875,-0.5148941171111538,-0.4213539193548262,-0.1701648434817791,-0.2448635846376419,-1.119245529174805,-0.6130055785179138,jumping,jumping_3,iPhone 11,10
1772639298045327600,0.23532763671875,-0.5139730567434803,-0.2019960058979689,-0.4696580776661634,-0.2292356342077255,-1.096137762069702,-0.6825921535491943,jumping,jumping_3,iPhone 11,10
1772639298055405600,0.245405517578125,-0.6041387000327929,-0.0704161830067634,-0.6591705956965684,-0.2036487907171249,-0.9924864172935486,-0.7745540142059326,jumping,jumping_3,iPhone 11,10
1772639298065482500,0.255482421875,-0.7730182894770056,-0.0949604032851755,-0.7834224137872458,-0.1566146612167358,-0.8970875144004822,-0.8856998085975647,jumping,jumping_3,iPhone 11,10
1772639298075559700,0.2655595703125,-0.8312146770536899,-0.1456416659913957,-0.8976561112105846,-0.1013543307781219,-0.8088380694389343,-0.9845518469810486,jumping,jumping_3,iPhone 11,10
1772639298085636600,0.27563671875,-0.8641974937230348,-0.0124437403790652,-0.6776976015120745,-0.0875971615314483,-0.7599510550498962,-1.0152254104614258,jumping,jumping_3,iPhone 11,10
1772639298095714600,0.285714599609375,-0.7773183978237211,-0.1945614719830453,-0.77308222155869,-0.0847140252590179,-0.771842360496521,-1.0098003149032593,jumping,jumping_3,iPhone 11,10
1772639298105791500,0.29579150390625,-0.4184675502635538,-0.1999129160135984,-0.6650964786142111,-0.0548641197383403,-0.6947673559188843,-1.0218602418899536,jumping,jumping_3,iPhone 11,10
1772639298115868700,0.30586865234375,-0.0630448505211621,0.0518783635362982,0.0780699126303196,0.014936001971364,-0.587709367275238,-1.0511289834976196,jumping,jumping_3,iPhone 11,10
1772639298125945600,0.315945556640625,0.0203369778469204,0.0217450910791754,0.2350193007081747,0.0464231297373771,-0.482530266046524,-1.017776608467102,jumping,jumping_3,iPhone 11,10
1772639298136023800,0.32602392578125,-0.1689155740730464,-0.0664474255062639,0.0508411294430494,0.0866935849189758,-0.3780150413513183,-0.932333528995514,jumping,jumping_3,iPhone 11,10
1772639298146100700,0.336100830078125,-0.3541157087970525,-0.0345396907225251,0.2123386823445558,0.0873651504516601,-0.2548376321792602,-0.8022138476371765,jumping,jumping_3,iPhone 11,10
1772639298156177700,0.346177734375,-0.6386858799420296,-0.0853064397551119,0.1066565401673316,0.041996069252491,-0.194557785987854,-0.6526421904563904,jumping,jumping_3,iPhone 11,10
1772639298166254800,0.3562548828125,-0.5754954834703355,0.019022972638905,-0.1892769557088613,-0.0236027464270591,-0.2774342000484466,-0.5236790180206299,jumping,jumping_3,iPhone 11,10
1772639298176332800,0.366332763671875,-0.3633144028402865,-0.0019046645775437,-0.6035521688491106,-0.0766047164797782,-0.5198148488998413,-0.4426376521587372,jumping,jumping_3,iPhone 11,10
1772639298186409700,0.37640966796875,-0.0507627304445952,-0.0666581456474959,-1.1683084508359431,-0.1187445670366287,-0.8373625874519348,-0.4195949733257293,jumping,jumping_3,iPhone 11,10
1772639298196486700,0.386486572265625,0.2242505808692425,0.0432603189252316,-1.6325351511031387,-0.1959506571292877,-1.0680145025253296,-0.3878146708011627,jumping,jumping_3,iPhone 11,10
1772639298206563600,0.3965634765625,0.1765207883797586,0.0239798643939197,-1.8699685272157192,-0.2954261302947998,-1.193896770477295,-0.3091062903404236,jumping,jumping_3,iPhone 11,10
1772639298216641800,0.406641845703125,-0.0805311881773173,-0.0356612420983612,-2.168009809026122,-0.3708548247814178,-1.2747173309326172,-0.2060043960809707,jumping,jumping_3,iPhone 11,10
1772639298226718700,0.41671875,-0.252192699957639,-0.0494008675068616,-2.38213537478745,-0.4596763551235199,-1.2682117223739624,-0.1342267543077469,jumping,jumping_3,iPhone 11,10
1772639298236795600,0.426795654296875,-0.4140060408100485,-0.0698632252991199,-2.624609083154797,-0.5461941957473755,-1.1376560926437378,-0.0625339150428772,jumping,jumping_3,iPhone 11,10
1772639298246872600,0.43687255859375,-0.8935274869732558,0.0178664960801601,-2.414540683829784,-0.6250309348106384,-0.8907754421234131,0.0138139091432094,jumping,jumping_3,iPhone 11,10
1772639298256950500,0.446950439453125,-1.164360151601583,0.1542548882968723,-1.943105075097084,-0.6714815497398376,-0.5441136360168457,0.0763276219367981,jumping,jumping_3,iPhone 11,10
1772639298267027700,0.45702783203125,-1.199252016762644,0.2479961250506341,-1.4070230989307164,-0.6836344003677368,-0.1875911951065063,0.1053597778081893,jumping,jumping_3,iPhone 11,10
1772639298277104600,0.467104736328125,-0.972870196018368,0.3260373961083591,-0.9995932216405868,-0.7018141746520996,0.0698214322328567,0.1003160029649734,jumping,jumping_3,iPhone 11,10
1772639298287181600,0.477181640625,-0.6402000838972628,0.3206161017119884,-0.899663943901658,-0.7417750358581543,0.145920068025589,0.0630270391702652,jumping,jumping_3,iPhone 11,10
1772639298297259500,0.487259521484375,-0.228534030342102,0.210679370830208,-0.9935200392067433,-0.7802819609642029,0.121429905295372,0.0494776777923107,jumping,jumping_3,iPhone 11,10
1772639298307336400,0.49733642578125,-0.0130161334395408,0.083741017069295,-0.7356839265346526,-0.7867740988731384,0.0584121868014335,0.0874766707420349,jumping,jumping_3,iPhone 11,10
1772639298317413600,0.50741357421875,0.0680729808814823,0.0169582221288234,-0.2834691511005163,-0.7586934566497803,-0.0374437682330608,0.1466246843338012,jumping,jumping_3,iPhone 11,10
1772639298327490600,0.517490478515625,0.1979969993896782,0.0215886584084481,-0.0551098928034305,-0.6826572418212891,-0.1360753327608108,0.2047047317028045,jumping,jumping_3,iPhone 11,10
1772639298337568800,0.52756884765625,0.2818519251622259,0.0422437622938305,0.2926893993884324,-0.5467808842658997,-0.2336202561855316,0.2573746144771576,jumping,jumping_3,iPhone 11,10
1772639298347645700,0.537645751953125,0.2414922961145639,0.0789237529806792,0.595218640267849,-0.3446842730045318,-0.3108335137367248,0.289436787366867,jumping,jumping_3,iPhone 11,10
1772639298357723000,0.547722900390625,0.154926065556705,0.131389049559459,0.9188836081564424,-0.1039957702159881,-0.3624042868614197,0.3153509199619293,jumping,jumping_3,iPhone 11,10
1772639298367799800,0.5577998046875,0.1675029307961464,0.1615530094157904,1.2914134369790553,0.1302755624055862,-0.4071800112724304,0.3220536410808563,jumping,jumping_3,iPhone 11,10
1772639298377876700,0.567876708984375,0.2869980558790266,0.2236914856817573,1.5849784501582382,0.3181464076042175,-0.4200688898563385,0.2849462032318115,jumping,jumping_3,iPhone 11,10
1772639298387954700,0.57795458984375,0.5239458404317497,0.1716635576069355,1.935068483635783,0.4321980774402618,-0.431663453578949,0.2204809635877609,jumping,jumping_3,iPhone 11,10
1772639298398031600,0.588031494140625,0.7624129435062408,-0.0202791832450777,2.046180249646306,0.4435532689094543,-0.5344665050506592,0.1499316990375518,jumping,jumping_3,iPhone 11,10
1772639298408108800,0.59810888671875,0.9904632819846272,-0.2313130666013806,1.6507266413539647,0.3760252892971039,-0.7036898732185364,0.1099363639950752,jumping,jumping_3,iPhone 11,10
1772639298418185700,0.608185791015625,1.1349208527579904,-0.4167953792676329,1.345941145980358,0.2710919380187988,-0.8269971609115601,0.1064071431756019,jumping,jumping_3,iPhone 11,10
1772639298428263700,0.618263671875,1.2459168834343552,-0.4963312727972865,1.5515648408561944,0.135912075638771,-0.8622227907180786,0.1224823519587516,jumping,jumping_3,iPhone 11,10
1772639298438340600,0.628340576171875,1.356813399259001,-0.521432907762751,1.7892916469573974,-0.0018846769817173,-0.876763641834259,0.145700067281723,jumping,jumping_3,iPhone 11,10
1772639298448417500,0.63841748046875,1.4532920981526374,-0.6123091835394502,1.712898143106699,-0.1103691458702087,-0.8533216118812561,0.1329775154590606,jumping,jumping_3,iPhone 11,10
1772639298458494700,0.64849462890625,1.5412714103788137,-0.7519743324045092,1.911989805865288,-0.1993376314640045,-0.6967682242393494,0.0424513556063175,jumping,jumping_3,iPhone 11,10
1772639298468572700,0.65857275390625,1.6927593181803822,-0.8524503573060035,2.335265487062931,-0.2901645004749298,-0.4507792294025421,-0.094710499048233,jumping,jumping_3,iPhone 11,10
1772639298478649600,0.668649658203125,1.7157286903575062,-0.9777702430196106,2.3979881929576394,-0.3856817185878753,-0.1857821941375732,-0.2230591475963592,jumping,jumping_3,iPhone 11,10
1772639298488726500,0.6787265625,1.7407456427142023,-1.2186494487371295,2.4396149193316696,-0.4694052636623382,0.0639740154147148,-0.3244059383869171,jumping,jumping_3,iPhone 11,10
1772639298498803700,0.6888037109375,1.9896262955144048,-1.441094733750075,2.6744202850282197,-0.5289671421051025,0.2706446349620819,-0.3938670456409454,jumping,jumping_3,iPhone 11,10
1772639298508881700,0.698881591796875,2.2072014172077177,-1.6491002091959115,2.9200410592496397,-0.5562569499015808,0.4232615232467651,-0.4524830877780914,jumping,jumping_3,iPhone 11,10
1772639298518958600,0.70895849609375,2.4280890244498847,-1.8650079821988936,3.314530206423998,-0.5487982630729675,0.5736702084541321,-0.5264323949813843,jumping,jumping_3,iPhone 11,10
1772639298529035500,0.719035400390625,2.7384093575969337,-1.9506800403960047,3.924707346370816,-0.5451087355613708,0.6822342872619629,-0.6242043972015381,jumping,jumping_3,iPhone 11,10
1772639298539112400,0.729112548828125,2.9745532784208653,-2.0306815056107936,4.197080518439412,-0.5599196553230286,0.7046692967414856,-0.7365508675575256,jumping,jumping_3,iPhone 11,10
1772639298549190700,0.739190673828125,3.191840523083508,-2.1077435563728213,4.159222789210081,-0.6003028750419617,0.6745370626449585,-0.8246616125106812,jumping,jumping_3,iPhone 11,10
1772639298559267800,0.749267822265625,3.151200177398324,-2.1984829809620976,4.112391479930281,-0.639793336391449,0.614564836025238,-0.8792012929916382,jumping,jumping_3,iPhone 11,10
1772639298569344800,0.7593447265625,3.063493836894631,-2.281746078321337,3.981995752257109,-0.6550915241241455,0.5568439364433289,-0.9365957975387572,jumping,jumping_3,iPhone 11,10
1772639298579421700,0.769421630859375,2.9727269397765395,-2.272298304887861,3.674597444036603,-0.6309409141540527,0.5550462603569031,-0.9721345901489258,jumping,jumping_3,iPhone 11,10
1772639298589499600,0.779499755859375,2.693126739063859,-2.145809083133936,3.488759815126657,-0.5653204321861267,0.6362290978431702,-0.94996577501297,jumping,jumping_3,iPhone 11,10
1772639298599572200,0.789572265625,2.5241204179674384,-1.8934280209973453,3.4714895313739773,-0.4610768556594848,0.8315621018409729,-0.9099386930465698,jumping,jumping_3,iPhone 11,10
1772639298609649200,0.799649169921875,2.642468857233226,-1.649656527904421,3.406505894809961,-0.3249649405479431,1.1258633136749268,-0.866905689239502,jumping,jumping_3,iPhone 11,10
1772639298619726000,0.80972607421875,2.6423884854733943,-1.3635842085681855,3.4333331114590164,-0.1690906584262848,1.4743201732635498,-0.7893749475479126,jumping,jumping_3,iPhone 11,10
1772639298629804000,0.819803955078125,2.491345983351767,-1.138307499521598,3.4452655413150786,-0.0110375005751848,1.843308925628662,-0.6892513632774353,jumping,jumping_3,iPhone 11,10
1772639298639881200,0.829881103515625,2.5101497602820397,-1.029213649204746,3.3576071316063403,0.1590029299259185,2.183379411697388,-0.5892366170883179,jumping,jumping_3,iPhone 11,10
1772639298649958100,0.839958251953125,2.698677943450212,-1.0245920538187026,3.187020847842097,0.3644732236862182,2.440157175064087,-0.4588828384876251,jumping,jumping_3,iPhone 11,10
1772639298660035000,0.85003515625,2.802428825303912,-1.3324252463251351,2.7488421965450045,0.5963032841682434,2.53215765953064,-0.2868072092533111,jumping,jumping_3,iPhone 11,10
1772639298670113300,0.86011328125,2.977390547673404,-1.8534098988637329,1.8471750961273907,0.788993239402771,2.2999918460845947,-0.0739279091358184,jumping,jumping_3,iPhone 11,10
1772639298680190200,0.870190185546875,3.181575149656832,-2.461376669284701,0.1213794775247573,0.9003897905349731,1.6780484914779663,0.1264315545558929,jumping,jumping_3,iPhone 11,10
1772639298690267400,0.880267333984375,3.0165850784644483,-2.699996624833345,-2.256259754887223,1.0298093557357788,0.8468399047851562,0.2878327369689941,jumping,jumping_3,iPhone 11,10
1772639298700344300,0.89034423828125,2.410643384130299,-2.705569164268672,-4.291618166267871,1.3128445148468018,0.2235254496335983,0.4068749845027923,jumping,jumping_3,iPhone 11,10
1772639298710422300,0.90042236328125,1.295520580036938,-2.5195158467814327,-5.551832747384905,1.720492601394653,-0.0171087533235549,0.5039617419242859,jumping,jumping_3,iPhone 11,10
1772639298720499200,0.910499267578125,0.0551919450636953,-2.146802770346403,-6.759483028528094,2.1685240268707275,0.0162151139229536,0.5531972050666809,jumping,jumping_3,iPhone 11,10
1772639298730576400,0.920576416015625,-0.8441038231126964,-1.9498589332714675,-8.195511272668838,2.556692600250244,0.1874056905508041,0.537296712398529,jumping,jumping_3,iPhone 11,10
1772639298740653300,0.9306533203125,-1.6099433800667524,-1.7201451916255055,-9.657531451678276,2.835522174835205,0.3775250315666199,0.4877619445323944,jumping,jumping_3,iPhone 11,10
1772639298750730200,0.940730224609375,-2.6955446138605472,-1.332298697336018,-11.145526614421604,3.000710964202881,0.522941529750824,0.4506066739559173,jumping,jumping_3,iPhone 11,10
1772639298760808200,0.95080810546875,-3.9069109929174175,-1.0242772887811065,-12.460900772702692,3.1197338104248047,0.7866256833076477,0.4084264636039734,jumping,jumping_3,iPhone 11,10
1772639298770885000,0.960885009765625,-5.188714890030026,-0.8047998405978083,-12.668822223126888,3.2105343341827397,1.1500242948532104,0.2916657030582428,jumping,jumping_3,iPhone 11,10
1772639298780962300,0.97096240234375,-6.023648295345902,-0.4769774607688188,-12.575728928887845,3.267432689666748,1.3991577625274658,0.0715895295143127,jumping,jumping_3,iPhone 11,10
1772639298791039200,0.981039306640625,-6.056559800344705,-0.3508361756697297,-12.794792535573244,3.261372327804565,1.5231925249099731,-0.1906682848930359,jumping,jumping_3,iPhone 11,10
1772639298801117200,0.9911171875,-6.155934366810321,-0.1629644105836749,-12.71482877202034,3.188124179840088,1.5711445808410645,-0.3788166344165802,jumping,jumping_3,iPhone 11,10
1772639298811194000,1.001194091796875,-6.534763003516197,0.1341732003852725,-12.478340567803382,3.073923349380493,1.510218620300293,-0.5181613564491272,jumping,jumping_3,iPhone 11,10
1772639298821271300,1.011271240234375,-6.717066028559207,0.3277607127696275,-12.433160532861947,2.9281668663024902,1.3447625637054443,-0.6488083004951477,jumping,jumping_3,iPhone 11,10
1772639298831348200,1.02134814453125,-6.607945728626847,0.4890966453686356,-12.291076120960712,2.756361484527588,1.1245672702789309,-0.7331933975219727,jumping,jumping_3,iPhone 11,10
1772639298841426200,1.03142626953125,-6.763720227706432,0.5921212587743997,-11.80274549152851,2.605480432510376,0.8686683177947998,-0.7538129091262817,jumping,jumping_3,iPhone 11,10
1772639298851503000,1.041503173828125,-6.762582748109102,0.6095119540363549,-11.10477024114132,2.498800754547119,0.5462316870689392,-0.7491265535354614,jumping,jumping_3,iPhone 11,10
1772639298861580000,1.051580078125,-6.3590183140754695,0.5222977809637784,-10.553647932231426,2.396115779876709,0.171364814043045,-0.7244467735290527,jumping,jumping_3,iPhone 11,10
1772639298871657200,1.0616572265625,-5.996939736640453,0.3677449326336383,-9.999221905601024,2.306574821472168,-0.0783406868577003,-0.7009801864624023,jumping,jumping_3,iPhone 11,10
1772639298881735400,1.0717353515625,-5.661796512404083,0.2783826416164636,-8.72233617566824,2.24489688873291,-0.091796837747097,-0.6550318598747253,jumping,jumping_3,iPhone 11,10
1772639298891812400,1.081812255859375,-5.220464365512132,0.12027414663136,-7.10414343817234,2.1351888179779053,0.0333839505910873,-0.5910962820053101,jumping,jumping_3,iPhone 11,10
1772639298901889300,1.09188916015625,-4.362715025015175,-0.1074462292402982,-5.722170024824142,1.93487286567688,0.1294273883104324,-0.5283985733985901,jumping,jumping_3,iPhone 11,10
